City ID,city,cloud,country,date,humidity,lat,long,temperature,speed
254,quatre cocos,3,MU,1624909381,74,-20.2078,57.7625,72.09,13.85
255,sao joao da barra,2,BR,1624909382,81,-21.6403,-41.0511,77.09,14.94
256,praia,0,CV,1624909382,65,14.9215,-23.5087,81.14,14.97
257,gubkinskiy,6,RU,1624909382,64,64.434,76.5026,45.34,8.46
258,kambove,42,CD,1624909383,47,-10.8764,26.5969,58.01,4.27
259,caruray,57,PH,1624909383,84,10.3094,119.0128,78.69,2.84
260,perth,90,AU,1624909384,93,-31.9333,115.8333,57.81,9.22
261,kasongo,13,CD,1624909384,34,-4.45,26.6667,75.09,4.29
262,banda aceh,90,ID,1624909385,79,5.5577,95.3222,79.88,8.95
263,yulara,90,AU,1624909385,57,-25.2406,130.9889,48.04,4.61
264,pevek,100,RU,1624909386,91,69.7008,170.3133,38.88,4.79
265,bilma,9,NE,1624909386,11,18.6853,12.9164,95.47,4.68
266,hof,69,DE,1624909387,82,50.3167,11.9167,70.11,5.55
267,karatsu,41,JP,1624909387,64,33.4425,129.9697,73.81,5.99
268,sharan,86,RU,1624909388,67,54.8167,54.0,74.8,2.71
269,chuy,100,UY,1624909388,86,-33.6971,-53.4616,44.46,22.12
270,mahon,0,ES,1624909389,83,39.8885,4.2658,73.96,3.44
271,saint-georges,20,GD,1624909389,70,12.0564,-61.7485,85.68,23.02
272,florence,0,IT,1624909372,36,43.7667,11.25,82.11,6.91
273,moron,96,AR,1624909390,73,-34.6534,-58.6198,47.66,8.99
274,hasaki,100,JP,1624909391,97,35.7333,140.8333,68.23,19.8
275,rio gallegos,0,AR,1624909391,71,-51.6226,-69.2181,46.45,8.05
276,necochea,100,AR,1624909392,71,-38.5473,-58.7368,48.04,24.16
277,crixas,0,BR,1624909392,21,-14.5489,-49.9692,87.37,3.09
278,los llanos de aridane,75,ES,1624909393,81,28.6585,-17.9182,69.12,19.57
279,siloam springs,75,US,1624909319,75,36.1881,-94.5405,82.31,12.66
280,cerrito,48,CO,1624909393,74,6.8432,-72.694,60.19,2.55
281,launceston,90,AU,1624909394,90,-41.45,147.1667,45.16,2.3
282,menongue,75,AO,1624909394,33,-14.6585,17.691,56.17,4.83
283,xining,95,CN,1624909396,83,36.6167,101.7667,55.51,3.09
284,baykit,95,RU,1624909396,87,61.67,96.37,48.56,3.13
285,portland,1,US,1624909115,22,45.5234,-122.6762,110.19,1.99
286,shingu,100,JP,1624909397,94,33.7333,135.9833,71.91,4.63
287,mabaruma,39,GY,1624909398,92,8.2,-59.7833,78.58,5.48
288,oudtshoorn,100,ZA,1624909398,88,-33.5907,22.2014,48.56,0.96
289,taywarah,0,AF,1624909399,27,33.35,64.4167,55.11,5.5
290,fare,66,PF,1624909399,70,-16.7,-151.0167,80.56,16.55
291,loa janan,100,ID,1624909400,95,-0.583,117.095,72.99,0.78
292,atambua,9,ID,1624909400,85,-9.1061,124.8925,68.2,6.02
293,boali,100,CF,1624909401,85,4.8005,18.1275,76.87,3.96
294,oshkosh,75,US,1624909255,71,44.0247,-88.5426,76.93,5.99
295,namatanai,96,PG,1624909402,81,-3.6667,152.4333,79.57,8.14
296,killybegs,18,IE,1624909402,83,54.6333,-8.45,56.44,7.18
297,port blair,100,IN,1624909403,79,11.6667,92.75,81.72,6.49
298,polunochnoye,69,RU,1624909403,87,60.8697,60.4153,63.64,0.45
299,abha,0,SA,1624909404,64,18.2164,42.5053,70.05,0.0
300,waipawa,100,NZ,1624909404,69,-41.4122,175.5153,39.56,26.02
301,lashio,100,MM,1624909405,100,22.9333,97.75,68.61,0.87
302,acajutla,62,SV,1624909405,74,13.5928,-89.8275,93.54,6.69
303,baicheng,1,CN,1624909406,75,45.6167,122.8167,68.11,2.35
304,kikwit,98,CD,1624909406,27,-5.041,18.8162,74.64,1.41
